Event_ID,Code,Event_Type,Category,Status,Location,Suburb,City,Published
P021741907,1D,Domestic Dispute,Family violence,Closed,HARLEY ST,SOLWAY,MASTERTON,Sat 4:57 PM
P021742245,1710,Intimidation/Threats,Violence,Closed,JACK ST,OTANGAREI,WHANGAREI,Sat 4:50 PM
P021742315,1C,Car/Person Acting Suspiciously,Public safety,Closed,CUBA ST,PETONE,LOWER HUTT,Sat 4:50 PM
P021742308,3530,Disorder,Disorder,Closed,RIDDIFORD ST,NEWTOWN,WELLINGTON,Sat 4:50 PM
P021739725,1640,Minor Assaults,Violence,Closed,MASSINE PL,RANDWICK PARK,AUCKLAND,Sat 4:40 PM
P021742192,1C,Car/Person Acting Suspiciously,Public safety,Closed,BARBARICH DR,STONEFIELDS,AUCKLAND,Sat 4:40 PM
P021742248,1C,Car/Person Acting Suspiciously,Public safety,Cancelled,COLLEGE RD,NORTHCOTE,AUCKLAND,Sat 4:40 PM
P021742100,3530,Disorder,Disorder,Closed,WILLIS ST,TE ARO,WELLINGTON,Sat 4:40 PM
P021741979,3530,Disorder,Disorder,Closed,-,HAMILTON CENTRAL,HAMILTON,Sat 4:40 PM
P021742209,4320,Theft Ex Shop,Dishonesty,Closed,QUEEN ST,MASTERTON,MASTERTON,Sat 4:40 PM
P021742096,6I,Unauthorised Street And Drag Racing,Disorder,Closed,-,TOKOROA,SOUTH WAIKATO,Sat 4:40 PM
P021742150,3H,Hotel Visit,Liquor,Closed,-,,,Sat 4:30 PM
P021741284,6110,Trespass,Public safety,Closed,BUCHANAN ST,OPOTIKI,OPOTIKI,Sat 4:30 PM
P021742095,6110,Trespass,Public safety,Closed,VICTORIA ST,HAMILTON CENTRAL,HAMILTON,Sat 4:30 PM
P021742124,1U,Traffic Offending,Road Policing,Closed,TUHIMATA RD,PAERATA,AUCKLAND,Sat 4:30 PM
P021742019,AMB2POL,Ambulance Assistance,Tasks,Cancelled,-,RANDWICK PARK,AUCKLAND,Sat 4:30 PM
P021738691,1D,Domestic Dispute,Family violence,Closed,WORDSWORTH RD,MANUREWA,AUCKLAND,Sat 4:23 PM
P021741577,1C,Car/Person Acting Suspiciously,Public safety,Closed,MOEWAI RD,WHITIANGA,THAMES-COROMANDEL,Sat 4:20 PM
P021742050,1V,Vehicle Collision,Road Policing,Closed,WEKA PASS RD,WEKA PASS,HURUNUI,Sat 4:20 PM
P021742029,1V,Vehicle Collision,Road Policing,Cancelled,-,RANDWICK PARK,AUCKLAND,Sat 4:20 PM
P021742031,3H,Hotel Visit,Liquor,Closed,-,,,Sat 4:20 PM
P021742066,4320,Theft Ex Shop,Dishonesty,Closed,WALTON LEIGH AV,PORIRUA   CENTRE,PORIRUA,Sat 4:20 PM
P021742025,6110,Trespass,Public safety,Cancelled,KORIMAKO AV,MANGERE BRIDGE,AUCKLAND,Sat 4:20 PM
P021741854,1U,Traffic Offending,Road Policing,Closed,GORING ST,OPOTIKI,OPOTIKI,Sat 4:20 PM
P021741982,1U,Traffic Offending,Road Policing,Closed,-,PORT WAIKATO,WAIKATO,Sat 4:20 PM
P021741605,1D,Domestic Dispute,Family violence,Closed,MAUNGATAUTARI RD,MAUNGATAUTARI,WAIPA,Sat 4:16 PM
P021741620,1D,Domestic Dispute,Family violence,Closed,KINGS CR,HUTT CENTRAL,LOWER HUTT,Sat 4:15 PM
P021741593,1310,Robbery,Violence,Closed,CHAMPION ST,CANNONS CREEK,PORIRUA,Sat 4:13 PM
P021741547,2630,Sexual Attacks,Sexual,Closed,RODNEY ST,WELLSFORD,AUCKLAND,Sat 4:11 PM
